date,asdf,isPartial
2016-05-15,52,False
2016-05-22,61,False
2016-05-29,62,False
2016-06-05,58,False
2016-06-12,55,False
2016-06-19,52,False
2016-06-26,55,False
2016-07-03,49,False
2016-07-10,43,False
2016-07-17,49,False
2016-07-24,48,False
2016-07-31,53,False
2016-08-07,50,False
2016-08-14,44,False
2016-08-21,44,False
2016-08-28,54,False
2016-09-04,52,False
2016-09-11,41,False
2016-09-18,58,False
2016-09-25,53,False
2016-10-02,50,False
2016-10-09,48,False
2016-10-16,58,False
2016-10-23,56,False
2016-10-30,48,False
2016-11-06,49,False
2016-11-13,53,False
2016-11-20,55,False
2016-11-27,59,False
2016-12-04,44,False
2016-12-11,56,False
2016-12-18,51,False
2016-12-25,36,False
2017-01-01,41,False
2017-01-08,42,False
2017-01-15,47,False
2017-01-22,51,False
2017-01-29,51,False
2017-02-05,50,False
2017-02-12,47,False
2017-02-19,51,False
2017-02-26,43,False
2017-03-05,46,False
2017-03-12,47,False
2017-03-19,46,False
2017-03-26,51,False
2017-04-02,100,False
2017-04-09,81,False
2017-04-16,60,False
2017-04-23,57,False
2017-04-30,63,False
2017-05-07,51,False
2017-05-14,53,False
2017-05-21,53,False
2017-05-28,55,False
2017-06-04,38,False
2017-06-11,50,False
2017-06-18,46,False
2017-06-25,48,False
2017-07-02,41,False
2017-07-09,47,False
2017-07-16,39,False
2017-07-23,39,False
2017-07-30,43,False
2017-08-06,44,False
2017-08-13,39,False
2017-08-20,35,False
2017-08-27,38,False
2017-09-03,33,False
2017-09-10,42,False
2017-09-17,41,False
2017-09-24,40,False
2017-10-01,36,False
2017-10-08,46,False
2017-10-15,41,False
2017-10-22,45,False
2017-10-29,43,False
2017-11-05,41,False
2017-11-12,44,False
2017-11-19,40,False
2017-11-26,45,False
2017-12-03,46,False
2017-12-10,40,False
2017-12-17,37,False
2017-12-24,32,False
2017-12-31,41,False
2018-01-07,37,False
2018-01-14,39,False
2018-01-21,40,False
2018-01-28,43,False
2018-02-04,37,False
2018-02-11,39,False
2018-02-18,40,False
2018-02-25,41,False
2018-03-04,42,False
2018-03-11,42,False
2018-03-18,41,False
2018-03-25,35,False
2018-04-01,37,False
2018-04-08,44,False
2018-04-15,33,False
2018-04-22,33,False
2018-04-29,37,False
2018-05-06,32,False
2018-05-13,54,False
2018-05-20,47,False
2018-05-27,43,False
2018-06-03,39,False
2018-06-10,34,False
2018-06-17,33,False
2018-06-24,35,False
2018-07-01,27,False
2018-07-08,27,False
2018-07-15,34,False
2018-07-22,33,False
2018-07-29,27,False
2018-08-05,42,False
2018-08-12,46,False
2018-08-19,47,False
2018-08-26,41,False
2018-09-02,44,False
2018-09-09,37,False
2018-09-16,32,False
2018-09-23,36,False
2018-09-30,30,False
2018-10-07,40,False
2018-10-14,36,False
2018-10-21,33,False
2018-10-28,38,False
2018-11-04,41,False
2018-11-11,46,False
2018-11-18,38,False
2018-11-25,37,False
2018-12-02,37,False
2018-12-09,45,False
2018-12-16,29,False
2018-12-23,29,False
2018-12-30,33,False
2019-01-06,36,False
2019-01-13,36,False
2019-01-20,31,False
2019-01-27,37,False
2019-02-03,41,False
2019-02-10,31,False
2019-02-17,33,False
2019-02-24,32,False
2019-03-03,32,False
2019-03-10,32,False
2019-03-17,31,False
2019-03-24,35,False
2019-03-31,41,False
2019-04-07,35,False
2019-04-14,36,False
2019-04-21,32,False
2019-04-28,32,False
2019-05-05,30,False
2019-05-12,34,False
2019-05-19,34,False
2019-05-26,32,False
2019-06-02,32,False
2019-06-09,32,False
2019-06-16,30,False
2019-06-23,27,False
2019-06-30,28,False
2019-07-07,29,False
2019-07-14,29,False
2019-07-21,26,False
2019-07-28,23,False
2019-08-04,21,False
2019-08-11,28,False
2019-08-18,34,False
2019-08-25,29,False
2019-09-01,47,False
2019-09-08,44,False
2019-09-15,39,False
2019-09-22,41,False
2019-09-29,33,False
2019-10-06,36,False
2019-10-13,37,False
2019-10-20,35,False
2019-10-27,38,False
2019-11-03,37,False
2019-11-10,35,False
2019-11-17,34,False
2019-11-24,31,False
2019-12-01,36,False
2019-12-08,35,False
2019-12-15,30,False
2019-12-22,21,False
2019-12-29,22,False
2020-01-05,28,False
2020-01-12,29,False
2020-01-19,31,False
2020-01-26,24,False
2020-02-02,27,False
2020-02-09,32,False
2020-02-16,34,False
2020-02-23,34,False
2020-03-01,28,False
2020-03-08,31,False
2020-03-15,31,False
2020-03-22,34,False
2020-03-29,30,False
2020-04-05,33,False
2020-04-12,27,False
2020-04-19,28,False
2020-04-26,29,False
2020-05-03,27,False
2020-05-10,27,False
2020-05-17,25,False
2020-05-24,28,False
2020-05-31,25,False
2020-06-07,25,False
2020-06-14,27,False
2020-06-21,24,False
2020-06-28,28,False
2020-07-05,30,False
2020-07-12,29,False
2020-07-19,25,False
2020-07-26,24,False
2020-08-02,23,False
2020-08-09,23,False
2020-08-16,32,False
2020-08-23,24,False
2020-08-30,29,False
2020-09-06,28,False
2020-09-13,24,False
2020-09-20,25,False
2020-09-27,25,False
2020-10-04,28,False
2020-10-11,26,False
2020-10-18,20,False
2020-10-25,38,False
2020-11-01,21,False
2020-11-08,26,False
2020-11-15,23,False
2020-11-22,21,False
2020-11-29,23,False
2020-12-06,22,False
2020-12-13,23,False
2020-12-20,22,False
2020-12-27,19,False
2021-01-03,20,False
2021-01-10,17,False
2021-01-17,19,False
2021-01-24,23,False
2021-01-31,22,False
2021-02-07,20,False
2021-02-14,19,False
2021-02-21,18,False
2021-02-28,20,False
2021-03-07,20,False
2021-03-14,22,False
2021-03-21,20,False
2021-03-28,17,False
2021-04-04,22,False
2021-04-11,18,False
2021-04-18,21,False
2021-04-25,16,False
2021-05-02,19,True
